"","Sample","Length","CpG_met","CpG_unmet","Sum"
"264","07_report/CpG_context_sampling_125_264_trimmed_bismark_bt2.CpG",44,30,14,44
"265","07_report/CpG_context_sampling_125_265_trimmed_bismark_bt2.CpG",51,37,14,51
"266","07_report/CpG_context_sampling_125_266_trimmed_bismark_bt2.CpG",33,25,8,33
"267","07_report/CpG_context_sampling_125_267_trimmed_bismark_bt2.CpG",40,30,10,40
"268","07_report/CpG_context_sampling_125_268_trimmed_bismark_bt2.CpG",45,30,15,45
"269","07_report/CpG_context_sampling_125_269_trimmed_bismark_bt2.CpG",39,28,11,39
"270","07_report/CpG_context_sampling_125_270_trimmed_bismark_bt2.CpG",37,31,6,37
"271","07_report/CpG_context_sampling_125_271_trimmed_bismark_bt2.CpG",33,22,11,33
"272","07_report/CpG_context_sampling_125_272_trimmed_bismark_bt2.CpG",47,24,23,47
"273","07_report/CpG_context_sampling_125_273_trimmed_bismark_bt2.CpG",34,28,6,34
"274","07_report/CpG_context_sampling_125_274_trimmed_bismark_bt2.CpG",39,30,9,39
"275","07_report/CpG_context_sampling_125_275_trimmed_bismark_bt2.CpG",50,36,14,50
"276","07_report/CpG_context_sampling_125_276_trimmed_bismark_bt2.CpG",56,41,15,56
"277","07_report/CpG_context_sampling_125_277_trimmed_bismark_bt2.CpG",41,27,14,41
"278","07_report/CpG_context_sampling_125_278_trimmed_bismark_bt2.CpG",43,31,12,43
"279","07_report/CpG_context_sampling_125_279_trimmed_bismark_bt2.CpG",51,42,9,51
"280","07_report/CpG_context_sampling_125_280_trimmed_bismark_bt2.CpG",39,29,10,39
"281","07_report/CpG_context_sampling_125_281_trimmed_bismark_bt2.CpG",41,30,11,41
"282","07_report/CpG_context_sampling_125_282_trimmed_bismark_bt2.CpG",38,24,14,38
"283","07_report/CpG_context_sampling_125_283_trimmed_bismark_bt2.CpG",54,41,13,54
"284","07_report/CpG_context_sampling_125_284_trimmed_bismark_bt2.CpG",52,41,11,52
"285","07_report/CpG_context_sampling_125_285_trimmed_bismark_bt2.CpG",40,30,10,40
"286","07_report/CpG_context_sampling_125_286_trimmed_bismark_bt2.CpG",45,34,11,45
"287","07_report/CpG_context_sampling_125_287_trimmed_bismark_bt2.CpG",48,28,20,48
"288","07_report/CpG_context_sampling_125_288_trimmed_bismark_bt2.CpG",42,33,9,42
"289","07_report/CpG_context_sampling_125_289_trimmed_bismark_bt2.CpG",49,32,17,49
"290","07_report/CpG_context_sampling_125_290_trimmed_bismark_bt2.CpG",46,31,15,46
"291","07_report/CpG_context_sampling_125_291_trimmed_bismark_bt2.CpG",45,34,11,45
"292","07_report/CpG_context_sampling_125_292_trimmed_bismark_bt2.CpG",46,39,7,46
"293","07_report/CpG_context_sampling_125_293_trimmed_bismark_bt2.CpG",47,32,15,47
"294","07_report/CpG_context_sampling_125_294_trimmed_bismark_bt2.CpG",57,44,13,57
"295","07_report/CpG_context_sampling_125_295_trimmed_bismark_bt2.CpG",39,31,8,39
"296","07_report/CpG_context_sampling_125_296_trimmed_bismark_bt2.CpG",42,29,13,42
"297","07_report/CpG_context_sampling_125_297_trimmed_bismark_bt2.CpG",46,33,13,46
"298","07_report/CpG_context_sampling_125_298_trimmed_bismark_bt2.CpG",36,28,8,36
"299","07_report/CpG_context_sampling_125_299_trimmed_bismark_bt2.CpG",48,33,15,48
"300","07_report/CpG_context_sampling_125_300_trimmed_bismark_bt2.CpG",37,26,11,37
